sample_index,conversation_id,customer_message,intent,expected_action,risk_level,sampling_group,reference_resolution,conversation_context,notes,dataset_heuristic_intent,dataset_heuristic_action,audit_status,reviewer_rationale_notes
162,conv_504975,Dear if i order something today on the first and pay for two day shipping and you ship it on the 13th.. do i get a refund on my shipping upgrade?,REFUND_NOT_RECEIVED,AUTO,MEDIUM,common_support,"Two-Day Shipping refers to the transit time, in business days, after an order ships. Your shipping fees may be refunded if we miss our promised delivery date. Learn more here: [LINK] I hope this helps!",5-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,REFUND_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for REFUND_NOT_RECEIVED; baseline expected action: AUTO.
163,conv_2280094,my account seems compromised pls send me a link to reset password and all purchases made on 12 nov pls canCel it,ACCOUNT_ACCESS_SECURITY,ESCALATE,HIGH,high_risk,Please drop your number in the link: [LINK] to request a call back from our Account specialist team. Hope this helps,2-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,ACCOUNT_ACCESS_SECURITY,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (ACCOUNT_ACCESS_SECURITY); strict escalation policy enforces human handoff.
164,conv_2410453,Oh thanks My stuff got delivered three days early. Great! &lt;3,GENERAL_INQUIRY_FEEDBACK,AUTO,LOW,rare_intent,That's what we like to hear! 😁 Let us know if we can ever assist!,2-turn Twitter exchange,Stratified sample for rare_intent category; baseline expected action: AUTO,GENERAL_INQUIRY_FEEDBACK,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for GENERAL_INQUIRY_FEEDBACK; baseline expected action: AUTO.
165,conv_1263397,i didn't mean to cancel my last order so how long in to i get my money back so i can order it again?,CANCELLATION_REQUEST,AUTO,LOW,common_support,Hello! We don't charge you until the item ships. You may be seeing an authorization. Find info here:[LINK],2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,CANCELLATION_REQUEST,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for CANCELLATION_REQUEST; baseline expected action: AUTO.
166,conv_1394448,has yet to ship my copy of #AssassinsCreedOrigins that was released yesterday to EVERYONE &amp; yet no word or email explaining why...,ORDER_TRACKING_STATUS,AUTO,LOW,common_support,"So sorry for the delay! Was your order eligible for Release Day Delivery? For more info, visit us here: [LINK]",4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,ORDER_TRACKING_STATUS,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for ORDER_TRACKING_STATUS; eligible for automated guidance with link precedent.
167,conv_2252917,"Hi PMs, I'm curious why a shoe would show up in a product listing page for shirts? Debating whether this is a cross-selling tactic? [LINK]",WRONG_ITEM_RECEIVED,AUTO,MEDIUM,common_support,"Hi, Raymond! Thank you for bringing this to our attention! We strive to make our searches as inclusive as possible, but we don't always hit the mark. Can you provide a link of where you saw this so that we can review it?",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,WRONG_ITEM_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (WRONG_ITEM_RECEIVED); self-service return/troubleshooting link is safe baseline.
168,conv_2612285,ETA is 18th for my order on and seller still didn't ship the order though he provided fake AWB number for the order. Nice way to fool customers.,ORDER_TRACKING_STATUS,AUTO,LOW,common_support,I'm sorry about that. Have you reported this to our support team here:[LINK] for assistance?,6-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,ORDER_TRACKING_STATUS,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for ORDER_TRACKING_STATUS; eligible for automated guidance with link precedent.
169,conv_1652449,I called your customer service thrice and also contacted the seller. You people are the worst,OTHER,ESCALATE,MEDIUM,ambiguous,"I'd like to take a closer look into this, please share your details on the link here: [LINK]",2-turn Twitter exchange,Stratified sample for ambiguous category; baseline expected action: ESCALATE,OTHER,ESCALATE,PENDING_HUMAN_REVIEW,"Ambiguous, truncated, or out-of-domain message lacking sufficient context for safe self-service; requires human routing."
170,conv_324489,My order was supposed to be delivered end of the day today. Its 8:30. Doubt u work 24hrs a day.,ORDER_TRACKING_STATUS,AUTO,LOW,common_support,Allow our support team to look into this. You can connect with us here: [LINK] ^CB.,6-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,ORDER_TRACKING_STATUS,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for ORDER_TRACKING_STATUS; eligible for automated guidance with link precedent.
171,conv_379145,wow I ordered smthng and it shows delivered. Best part haven't recieved or signed the same. #pathetic #amazonin,ORDER_TRACKING_STATUS,AUTO,LOW,common_support,I'm sorry for the incorrect tracking update with your order. Have your reported this to 1/2,3-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,ORDER_TRACKING_STATUS,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for ORDER_TRACKING_STATUS; eligible for automated guidance with link precedent.
172,conv_218166,Was delivered stone instead of a laptop.. Your Customer Service isn't helpful [LINK],DAMAGED_OR_DEFECTIVE_ITEM,AUTO,MEDIUM,common_support,That's unusual. I'd like to help. Please write to us here: [LINK] and I'll reach out to you. (1/2),5-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DAMAGED_OR_DEFECTIVE_ITEM,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (DAMAGED_OR_DEFECTIVE_ITEM); self-service return/troubleshooting link is safe baseline.
173,conv_1652914,Hi. What are the reasons for a parcel being delayed?,DELIVERY_DELAY,AUTO,LOW,common_support,Hi Alistair. Do you have an outstanding order? What does the latest tracking advise- [LINK],6-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
174,conv_1720449,"hey, ordered an item. Was marked delivered by your team. Hasn't been received. How does one reach out to you?",ORDER_TRACKING_STATUS,AUTO,LOW,common_support,Sorry to know that you haven't received your order. Kindly contact us here: [LINK] &amp; we'll get it checked.,2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,ORDER_TRACKING_STATUS,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for ORDER_TRACKING_STATUS; eligible for automated guidance with link precedent.
175,conv_1965756,still haven't had an update as to why you charged me $17.98.,PAYMENT_AND_BILLING_ISSUE,ESCALATE,HIGH,high_risk,"I'm sorry to hear this! Were you able to reach out yesterday, Stephen? Let us know- we're here to help!",4-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,PAYMENT_AND_BILLING_ISSUE,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (PAYMENT_AND_BILLING_ISSUE); strict escalation policy enforces human handoff.
176,conv_1659702,[LINK] - Offer - [LINK] CC says I am eligible. Yet no CB. CC giving dates after date. Really fed up with #Amazon in CC. No info. - Never in lat few years felt like this.,OTHER,ESCALATE,MEDIUM,ambiguous,"I’m sorry about this experience. I’d like to assist you, please fill this form: [LINK]",11-turn Twitter exchange,Stratified sample for ambiguous category; baseline expected action: ESCALATE,OTHER,ESCALATE,PENDING_HUMAN_REVIEW,"Ambiguous, truncated, or out-of-domain message lacking sufficient context for safe self-service; requires human routing."
177,conv_1059610,"Really Amazon is this ur way to deal your customer if I'll not get my refund of Rs.1399 in next 24hrs,I will go to consumer forum",REFUND_NOT_RECEIVED,AUTO,MEDIUM,common_support,Sorry for the stretch. Please drop in the details here: [LINK] and we'll get this sorted.,6-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,REFUND_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for REFUND_NOT_RECEIVED; baseline expected action: AUTO.
178,conv_1939138,I have a package that is shipped to the correct Marburg DE address but its delivery was attempted in Dillenburg DE.. why?,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,MEDIUM,common_support,That's rather odd. Please give us a call here: [LINK] so we can look into this with you!,4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (PACKAGE_DELIVERED_NOT_RECEIVED); self-service return/troubleshooting link is safe baseline.
179,conv_1120409,"4th time I've been in my house&amp;Amazon dont knock once,just post the card,&amp;take package to a house I don't know!Im PayingPrime why?",PAYMENT_AND_BILLING_ISSUE,ESCALATE,HIGH,high_risk,"I'm sorry for the delivery troubles, Celine! Please reach us here: [LINK] so we can take a closer look.",2-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,PAYMENT_AND_BILLING_ISSUE,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (PAYMENT_AND_BILLING_ISSUE); strict escalation policy enforces human handoff.
180,conv_808178,#amazon #worstservicesever #looters A to Z worst services. #liers [LINK],OTHER,ESCALATE,MEDIUM,ambiguous,Apologies for the ordeal. Please share your details here: [LINK] and I'll get back to you.,2-turn Twitter exchange,Stratified sample for ambiguous category; baseline expected action: ESCALATE,OTHER,ESCALATE,PENDING_HUMAN_REVIEW,"Ambiguous, truncated, or out-of-domain message lacking sufficient context for safe self-service; requires human routing."
181,conv_427310,this is the third time its happening your delivery agents are not responding and even the customer service is worst.,DELIVERY_DELAY,AUTO,LOW,common_support,I’d like to understand this better. Please fill this form: [LINK] and I’ll contact you at the earliest,2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
182,conv_534141,the contact number of the delivery agent provided in the app under 'track your order' tab is incorrect. I'd like to know whether I'd get my order by EOD or not. It says out for delivery.,ORDER_TRACKING_STATUS,AUTO,LOW,common_support,"When a product is out for delivery, the delivery is attempted on or before 8 pm. Kindly wait until then for the delivery of the order. Do keep us posted. Appreciate your patience.",4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,ORDER_TRACKING_STATUS,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for ORDER_TRACKING_STATUS; eligible for automated guidance with link precedent.
183,conv_323787,facing this issue while using #amazonpay raised several calls Hopeless customer care [LINK],UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,CRITICAL,high_risk,"Inconvenience is regretted. We'd like to investigate this, please share your details here: [LINK]",4-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (UNAUTHORIZED_TRANSACTION_FRAUD); strict escalation policy enforces human handoff.
184,conv_399139,"10% cashback for purchase using pay balance not credited for ORDER# 404-9664474-2575559, 404-8887345-7041157, 404-1171714-8121949",REFUND_NOT_RECEIVED,AUTO,MEDIUM,common_support,I understand your concern regarding the cashback. I'd like to assist you with this. Kindly drop your details 1/3,14-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,REFUND_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for REFUND_NOT_RECEIVED; baseline expected action: AUTO.
185,conv_916528,Order ID: 403-4257112-8167562. You guys lost my order and have accused me of stealing. Not sure if I should go to court?,UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,CRITICAL,high_risk,I apologize for the incorrect update. Kindly share your details here: [LINK] and I'll contact you soon. (1/2),6-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,PENDING_HUMAN_REVIEW,High-risk unauthorized activity or fraud claim detected. Mandatory human escalation (CRITICAL risk).
186,conv_1570861,"why does the wishlist let me no what's brought, but if someone else goes to buy the item doesn't tell them it's brought #fail",WRONG_ITEM_RECEIVED,AUTO,MEDIUM,common_support,"Items purchased from your wishlist are moved to the purchased section, and will no longer appear for visitors.",7-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,WRONG_ITEM_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (WRONG_ITEM_RECEIVED); self-service return/troubleshooting link is safe baseline.
187,conv_1118002,I ordered Moto M on . They sent a defective piece. Now not giving replacement. This happened twice. Fake festive offers,DAMAGED_OR_DEFECTIVE_ITEM,AUTO,MEDIUM,common_support,Apologies for the trouble with the replacement of the order. I'd like to take a closer look at this. ^AK (1/2),3-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DAMAGED_OR_DEFECTIVE_ITEM,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (DAMAGED_OR_DEFECTIVE_ITEM); self-service return/troubleshooting link is safe baseline.
188,conv_522502,#Pantry is here already ! Love your service ! But y taking charges from Prime members man ! [LINK],PRIME_MEMBERSHIP_INQUIRY,AUTO,LOW,common_support,"Appreciate your interest. Thank you for trusting us. There are certain sellers, who will charge for shipping certain order. We will consider this as feedback and ensure to pass it on internally for improvements.",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PRIME_MEMBERSHIP_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for PRIME_MEMBERSHIP_INQUIRY; baseline expected action: AUTO.
189,conv_29568,"Hey , since you have launched echo and tap in india. Time to get #alexa working too, please.",DIGITAL_SERVICES_AND_DEVICE,AUTO,LOW,common_support,The Alexa app will be available in the App Store / Play Store when the devices start shipping the week of Oct 30.,8-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DIGITAL_SERVICES_AND_DEVICE,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DIGITAL_SERVICES_AND_DEVICE; eligible for automated guidance with link precedent.
190,conv_2275854,why is prime video not working?,DIGITAL_SERVICES_AND_DEVICE,AUTO,LOW,common_support,"Hey Becca, have you tried logging in and out again? Does this fix it? Keep us posted!",6-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DIGITAL_SERVICES_AND_DEVICE,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DIGITAL_SERVICES_AND_DEVICE; eligible for automated guidance with link precedent.
191,conv_132376,Amazon prime will be the death of my bank account,PRIME_MEMBERSHIP_INQUIRY,AUTO,LOW,common_support,"Hey Leo! Don't worry about it, at least you're gonna have some. Awesome stuff! 👊",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PRIME_MEMBERSHIP_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for PRIME_MEMBERSHIP_INQUIRY; baseline expected action: AUTO.
192,conv_2847324,"I ordered and paid for a fan over a month ago, where is it please??? I'm overheating [LINK]",OTHER,ESCALATE,MEDIUM,ambiguous,I'm sorry you haven't received your fan yet. Was this fan sold by Amazon or a third-party seller: [LINK],4-turn Twitter exchange,Stratified sample for ambiguous category; baseline expected action: ESCALATE,OTHER,ESCALATE,PENDING_HUMAN_REVIEW,"Ambiguous, truncated, or out-of-domain message lacking sufficient context for safe self-service; requires human routing."
193,conv_2485573,Why am I paying for Prime when my 3 2-day items won't be here until DAY 3? #notOK #sucks #primehell #baitandswitch #lame #badsanta,DELIVERY_DELAY,AUTO,LOW,common_support,Oh no Robin. Did you receive an email with info regarding the delay?,7-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
194,conv_1019500,You're not acknowledging a return that I put in an Amazon locker six days ago. How do I inquire about that?,RETURN_EXCHANGE_INQUIRY,AUTO,LOW,rare_intent,I'm sorry to hear this. We'd like to take a closer look into this for you. Please reach us here: [LINK],2-turn Twitter exchange,Stratified sample for rare_intent category; baseline expected action: AUTO,RETURN_EXCHANGE_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for RETURN_EXCHANGE_INQUIRY; eligible for automated guidance with link precedent.
195,conv_1614518,any reason you cancelled my prime now order twice this morning?,CANCELLATION_REQUEST,AUTO,LOW,common_support,I'm sorry to hear that Nick. Did you receive an e-mail notification regarding the cancellations?,2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,CANCELLATION_REQUEST,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for CANCELLATION_REQUEST; baseline expected action: AUTO.
196,conv_1311602,Such a #PoorService given by Amazon. They never give us proper reply on call #pathetic Amazon #Amazonpitiful #Amazon [LINK],WRONG_ITEM_RECEIVED,AUTO,MEDIUM,common_support,I understand your concern but we don't have a remorse a return policy for speakers. You can return the speaker for a 1/3,4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,WRONG_ITEM_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (WRONG_ITEM_RECEIVED); self-service return/troubleshooting link is safe baseline.
197,conv_1525100,"Dear , 24 hr concierge means no failed deliveries. Please stop with the excuses. Truth: delivery is late. That's ok.",DELIVERY_DELAY,AUTO,LOW,common_support,Oh no! I'm sorry for the poor delivery experience. Please contact us here to get this sorted: [LINK],3-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
198,conv_239023,"I bought one plus 3T phone on 21st sep 2017(ORDER # 408-8137211-1133927). product was defective. On placing return, amazon1/2",DAMAGED_OR_DEFECTIVE_ITEM,AUTO,MEDIUM,common_support,"Please don't provide your order details, as we consider it to be personal information.Our page is visible to public.(2/2)",9-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DAMAGED_OR_DEFECTIVE_ITEM,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (DAMAGED_OR_DEFECTIVE_ITEM); self-service return/troubleshooting link is safe baseline.
199,conv_380568,"Sometimes I love , they provide one-day delivery even without paying for one.",GENERAL_INQUIRY_FEEDBACK,AUTO,LOW,rare_intent,"Sometimes, why not ? 😉 Thanks for the shoutout, Shivam.",3-turn Twitter exchange,Stratified sample for rare_intent category; baseline expected action: AUTO,GENERAL_INQUIRY_FEEDBACK,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for GENERAL_INQUIRY_FEEDBACK; baseline expected action: AUTO.
200,conv_1632477,"lost my package, got a refund, lost package again? You guys can't get a package to one of your own lockers? Lesson learned!",WRONG_ITEM_RECEIVED,AUTO,MEDIUM,common_support,I'm sorry for the trouble receiving your order. When we spoke did we provide any insight on your missing orders?,8-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,WRONG_ITEM_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (WRONG_ITEM_RECEIVED); self-service return/troubleshooting link is safe baseline.
